City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,puerto ayora,-0.7393,-90.3518,28.98,87,75,4.02,EC,1689709994
228,enewetak,11.3474,162.3373,28.4,78,14,5.65,MH,1689709994
229,novo aripuana,-5.1206,-60.3797,37.52,23,27,2.04,BR,1689709994
230,fortaleza,-3.7227,-38.5247,31.07,51,20,7.72,BR,1689709906
231,suva,-18.1416,178.4415,20.71,94,75,4.63,FJ,1689709995
232,manta,-0.95,-80.7333,29.88,62,40,4.63,EC,1689709934
233,banyo,6.75,11.8167,19.57,95,58,1.31,CM,1689709995
234,tamanrasset,22.785,5.5228,32.95,11,0,5.14,DZ,1689709995
235,anadyr,64.75,177.4833,16.28,77,100,4.0,RU,1689709996
236,fomboni,-12.28,43.7425,25.57,70,5,5.92,KM,1689709996
237,tatarbunary,45.8373,29.6142,26.07,48,16,5.6,UA,1689709996
238,malvan,16.0667,73.4667,25.78,87,100,7.69,IN,1689709997
239,tromso,69.6496,18.957,12.01,87,75,1.54,NO,1689709956
240,havre,49.5833,0.3333,20.75,60,0,2.06,FR,1689709997
241,igarka,67.4667,86.5833,11.39,85,95,3.71,RU,1689709997
242,new norfolk,-42.7826,147.0587,6.07,87,90,1.17,AU,1689709997
243,san patricio,28.017,-97.5169,39.53,36,0,7.64,US,1689709998
244,plouzane,48.3833,-4.6167,18.03,85,100,5.66,FR,1689709998
245,maple ridge,49.2194,-122.6019,26.83,48,15,1.54,CA,1689709862
246,yeniseysk,58.4497,92.1703,13.42,70,100,1.09,RU,1689709999
247,inhambane,-23.865,35.3833,16.99,94,0,0.0,MZ,1689709999
248,loango,-4.6719,11.8312,23.81,88,20,2.06,CG,1689709999
249,piti village,13.4626,144.6933,28.03,87,75,0.0,GU,1689709999
250,agua prieta,31.3,-109.5667,39.99,17,0,1.54,MX,1689710000
251,zhanaozen,43.3,52.8,21.62,62,0,6.33,KZ,1689710000
252,wuhai,39.6647,106.8122,24.62,38,0,5.52,CN,1689709944
253,vernon,50.2581,-119.2691,26.63,32,0,1.54,CA,1689709997
254,sangsong-ni,39.1694,126.8856,19.54,98,41,0.8,KP,1689710001
255,lethbridge,49.7,-112.8186,24.27,25,40,2.57,CA,1689709720
256,taoudenni,22.6783,-3.9836,40.11,18,91,7.99,ML,1689710001
257,harrisonville,38.6533,-94.3488,23.88,83,0,3.09,US,1689710001
258,zhaotong,27.3167,103.7167,15.73,95,100,1.63,CN,1689710002
259,kapuskasing,49.4169,-82.4331,20.05,72,75,5.66,CA,1689710002
260,cockburn town,21.4612,-71.1419,28.36,86,100,9.22,TC,1689709948
261,show low,34.2542,-110.0298,34.45,17,75,4.63,US,1689710003
262,al jawf,29.5,38.75,31.35,12,0,3.46,SA,1689710003
263,lorengau,-2.0226,147.2712,26.46,81,65,2.16,PG,1689709982
264,nova vicosa,-17.8919,-39.3719,24.15,74,6,4.75,BR,1689710003
265,arno,60.1167,18.6333,14.07,77,61,2.82,SE,1689710003
266,dunedin,-45.8742,170.5036,7.45,78,100,3.34,NZ,1689710004
267,paradip garh,20.3167,86.6167,27.91,85,82,4.29,IN,1689710004
268,zavolzhsk,57.4823,42.1378,19.32,69,77,3.58,RU,1689710004
269,kenora,49.8167,-94.4337,20.54,60,75,2.57,CA,1689710005
270,egilsstadir,65.2653,-14.3948,9.95,66,75,6.17,IS,1689710005
271,lodja,-3.4833,23.4333,29.35,26,100,1.01,CD,1689710005
272,aasiaat,68.7098,-52.8699,4.29,94,86,3.17,GL,1689710005
273,black point,-34.6187,137.8972,8.37,79,48,6.17,AU,1689710006
274,kruisfontein,-34.0033,24.7314,14.94,82,91,11.98,ZA,1689710006
275,saint-felicien,48.6501,-72.4491,25.38,65,100,2.57,CA,1689710006
276,ingeniero jacobacci,-41.3427,-69.5448,1.29,70,100,1.57,AR,1689709968
277,touba,8.2833,-7.6833,22.0,96,68,1.62,CI,1689710006
278,nacozari viejo,30.4,-109.65,36.03,21,1,2.07,MX,1689710007
279,huarmey,-10.0681,-78.1522,23.28,66,7,5.65,PE,1689709727
280,san antonio,29.4241,-98.4936,41.17,35,40,3.6,US,1689710007
281,yerofey pavlovich,53.9667,121.9667,16.57,96,100,1.47,RU,1689710007
282,langepas,61.2544,75.2124,16.92,78,8,3.33,RU,1689710008
283,damghan,36.1683,54.348,22.44,55,24,4.49,IR,1689710008
284,chulym,55.0997,80.9572,15.41,80,78,3.46,RU,1689710008
285,aripuana,-9.1667,-60.6333,36.58,22,63,1.43,BR,1689710008
286,bayanhongor,46.7167,100.1167,10.72,70,100,2.59,MN,1689710008
287,kupang,-10.1667,123.5833,23.34,78,31,4.0,ID,1689710009
288,mitu,1.1983,-70.1733,28.39,75,8,1.15,CO,1689710009
289,saudarkrokur,65.7461,-19.6394,7.47,83,16,3.81,IS,1689710009
290,gustavsberg,59.3268,18.3898,16.66,80,84,4.02,SE,1689710010
291,hasaki,35.7333,140.8333,24.22,80,100,2.61,JP,1689709943
292,beytussebap,37.5694,43.1681,19.97,40,11,1.34,TR,1689710010
293,hermanus,-34.4187,19.2345,12.11,75,67,8.63,ZA,1689710010
294,nouadhibou,20.931,-17.0347,23.99,73,7,6.69,MR,1689710010
295,mugia,43.1041,-9.2179,21.62,79,0,6.83,ES,1689710011
